MiniGame; Version; Player; First_TimeStamp; Last_Timestamp; Score; Q1; Q2; Q3; Q4
SORTER;1;D43TCP;1682505909478;1682505969925;310;4;4;4;2
FLAPPY;3;D43TCP;1682505996999;1682506060827;350;4;4;2;3
DOBBLE;3;D43TCP;1682506078101;1682506140044;320;4;5;4;3
FLAPPY;2;D43TCP;1682506163282;1682506226612;290;3;4;2;1
RUNSHOOT;3;D43TCP;1682506242451;1682506305362;134;3;4;5;4
DOBBLE;2;D43TCP;1682506333538;1682506394997;270;4;4;4;4
RUNSHOOT;1;D43TCP;1682506418420;1682506480699;86;2;2;2;2
SORTER;2;D43TCP;1682506494870;1682506555882;160;3;4;3;3
DOBBLE;1;D43TCP;1682506572106;1682506632949;280;4;4;4;4
RUNSHOOT;2;D43TCP;1682506645356;1682506705967;85;2;2;2;2
SORTER;3;D43TCP;1682506728973;1682506789450;180;4;4;4;4
FLAPPY;1;D43TCP;1682506804173;1682506866934;300;3;2;2;2
DOBBLE;3;D43TCP2;1682507025992;1682507087390;270;4;4;4;4
FLAPPY;1;D43TCP2;1682507106011;1682507168805;290;3;3;2;1
SORTER;1;D43TCP2;1682507184912;1682507245391;320;4;4;4;3
RUNSHOOT;1;D43TCP2;1682507257144;1682507318323;100;3;3;3;2
SORTER;3;D43TCP2;1682507333911;1682507394407;360;4;4;4;3
DOBBLE;2;D43TCP2;1682507407467;1682507468380;310;4;4;4;4
FLAPPY;3;D43TCP2;1682507484614;1682507549127;370;3;4;2;3
SORTER;2;D43TCP2;1682507566332;1682507626811;390;3;4;3;3
RUNSHOOT;3;D43TCP2;1682507639266;1682507700895;135;4;4;4;4
DOBBLE;1;D43TCP2;1682507719868;1682507780912;240;4;4;4;4
RUNSHOOT;2;D43TCP2;1682507804134;1682507864846;117;4;2;3;2
FLAPPY;2;D43TCP2;1682507888552;1682507951515;290;3;3;2;2
SORTER;1;PSF63U;1682515750131;1682515810645;550;4;4;5;5
RUNSHOOT;2;PSF63U;1682515838537;1682515899727;126;3;3;4;3
DOBBLE;1;PSF63U;1682515913771;1682515974661;110;5;5;5;5
SORTER;3;PSF63U;1682515991867;1682516052479;410;4;4;5;4
RUNSHOOT;1;PSF63U;1682516072885;1682516133397;126;3;3;4;3
DOBBLE;3;PSF63U;1682516159208;1682516221197;280;5;5;5;5
SORTER;2;PSF63U;1682516266554;1682516327066;520;2;2;3;3
DOBBLE;2;PSF63U;1682516357564;1682516418383;215;5;5;5;5
FLAPPY;2;PSF63U;1682516445255;1682516511834;290;4;4;3;2
RUNSHOOT;3;PSF63U;1682516532507;1682516595685;146;3;4;4;3
FLAPPY;3;PSF63U;1682516626759;1682516690519;380;3;3;3;3
FLAPPY;1;PSF63U;1682516722010;1682516783354;290;3;3;3;3
DOBBLE;1;PSF63U2;1682517053061;1682517114425;370;5;5;5;5
RUNSHOOT;1;PSF63U2;1682517132498;1682517193393;128;3;2;3;2
SORTER;2;PSF63U2;1682517214715;1682517275110;560;3;3;3;3
DOBBLE;3;PSF63U2;1682517290387;1682517351911;285;5;5;5;5
SORTER;1;PSF63U2;1682517371550;1682517432012;600;4;3;4;3
FLAPPY;1;PSF63U2;1682517462404;1682517524462;300;3;3;3;2
RUNSHOOT;3;PSF63U2;1682517555736;1682517618548;154;4;4;4;3
DOBBLE;2;PSF63U2;1682517644754;1682517705649;290;5;5;5;5
SORTER;3;PSF63U2;1682517730754;1682517791250;480;4;4;4;3
FLAPPY;2;PSF63U2;1682517814621;1682517876386;290;3;3;3;2
RUNSHOOT;2;PSF63U2;1682517904073;1682517964568;138;3;3;3;3
FLAPPY;3;PSF63U2;1682517985425;1682518046686;380;3;3;2;2
RUNSHOOT;2;MKB21T;1682528540960;1682528602908;111;5;5;5;4
DOBBLE;2;MKB21T;1682528625889;1682528686910;220;5;4;5;5
FLAPPY;3;MKB21T;1682528703931;1682528774943;300;2;3;2;2
SORTER;3;MKB21T;1682528797883;1682528858347;20;5;5;4;5
RUNSHOOT;3;MKB21T;1682528874200;1682528940946;120;4;5;4;4
DOBBLE;3;MKB21T;1682528956868;1682529018346;280;5;5;5;5
FLAPPY;2;MKB21T;1682529031069;1682529098897;290;1;2;1;2
DOBBLE;1;MKB21T;1682529116539;1682529178031;300;4;4;4;5
FLAPPY;1;MKB21T;1682529194906;1682529264332;250;1;2;1;1
SORTER;1;MKB21T;1682529283505;1682529344050;330;4;4;5;5
RUNSHOOT;1;MKB21T;1682529357707;1682529419100;115;2;3;4;3
SORTER;2;MKB21T;1682529433939;1682529494468;270;4;3;4;4
SORTER;3;MKB21T2;1682529752875;1682529813987;130;5;5;5;5
RUNSHOOT;1;MKB21T2;1682529826743;1682529890171;112;4;3;3;3
DOBBLE;2;MKB21T2;1682529904476;1682529965406;290;4;3;4;5
SORTER;1;MKB21T2;1682529983444;1682530043940;480;4;2;3;4
FLAPPY;1;MKB21T2;1682530067746;1682530133190;290;1;3;1;1
RUNSHOOT;3;MKB21T2;1682530148180;1682530211343;129;2;2;2;2
SORTER;2;MKB21T2;1682530228364;1682530288810;360;2;2;2;2
DOBBLE;1;MKB21T2;1682530306467;1682530367426;290;4;4;5;5
RUNSHOOT;2;MKB21T2;1682530379283;1682530440577;113;3;2;2;2
FLAPPY;3;MKB21T2;1682530455100;1682530522045;330;1;1;1;2
DOBBLE;3;MKB21T2;1682530531318;1682530592896;345;4;3;5;5
FLAPPY;2;MKB21T2;1682530603468;1682530670764;290;2;1;2;1
FLAPPY;3;D72PSN;1682609060846;1682609125855;380;2;3;3;3
RUNSHOOT;3;D72PSN;1682609157784;1682609222056;143;3;3;3;3
SORTER;3;D72PSN;1682609235996;1682609296475;230;4;3;4;4
DOBBLE;2;D72PSN;1682609318681;1682609379676;270;3;2;2;3
RUNSHOOT;1;D72PSN;1682609394764;1682609456042;120;2;3;3;3
SORTER;1;D72PSN;1682609465882;1682609526412;590;2;2;3;3
DOBBLE;1;D72PSN;1682609537336;1682609598712;490;2;2;2;2
SORTER;2;D72PSN;1682609612107;1682609672546;570;3;3;3;3
FLAPPY;1;D72PSN;1682609680551;1682609742396;300;2;2;2;2
RUNSHOOT;2;D72PSN;1682609754027;1682609815680;117;2;3;2;3
DOBBLE;3;D72PSN;1682609829985;1682609892115;550;3;3;3;3
FLAPPY;2;D72PSN;1682609905645;1682609967783;300;2;2;2;2
SORTER;2;D72PSN2;1682610095822;1682610156352;540;2;2;2;2
RUNSHOOT;2;D72PSN2;1682610173990;1682610235436;111;3;3;3;2
FLAPPY;3;D72PSN2;1682610247925;1682610310137;400;2;2;2;2
RUNSHOOT;3;D72PSN2;1682610321793;1682610386989;129;3;4;3;3
DOBBLE;3;D72PSN2;1682610396991;1682610457789;515;3;3;3;2
SORTER;1;D72PSN2;1682610472677;1682610533174;580;3;3;4;4
RUNSHOOT;1;D72PSN2;1682610543254;1682610603823;120;3;2;2;3
DOBBLE;1;D72PSN2;1682610617189;1682610678575;505;3;2;2;2
FLAPPY;1;D72PSN2;1682610690246;1682610751325;300;2;2;3;2
SORTER;3;D72PSN2;1682610766247;1682610826743;410;4;4;4;4
FLAPPY;2;D72PSN2;1682610835386;1682610897194;290;3;2;3;3
DOBBLE;2;D72PSN2;1682610908030;1682610969294;605;2;2;2;2
FLAPPY;1;PTS92Q;1682677150165;1682677212107;300;2;4;5;1
RUNSHOOT;3;PTS92Q;1682677228806;1682677292125;124;2;4;5;4
FLAPPY;3;PTS92Q;1682677304436;1682677367609;350;1;4;5;1
SORTER;2;PTS92Q;1682677376854;1682677437460;460;4;2;5;4
DOBBLE;2;PTS92Q;1682677447463;1682677508861;230;3;4;3;5
RUNSHOOT;2;PTS92Q;1682677520274;1682677580912;128;3;4;5;4
DOBBLE;3;PTS92Q;1682677590214;1682677651146;310;3;4;4;4
FLAPPY;2;PTS92Q;1682677667809;1682677729279;290;1;3;5;1
DOBBLE;1;PTS92Q;1682677741453;1682677802381;395;3;4;5;4
SORTER;3;PTS92Q;1682677814992;1682677875482;280;5;2;4;2
RUNSHOOT;1;PTS92Q;1682677885439;1682677946799;120;2;4;5;4
SORTER;1;PTS92Q;1682677956473;1682678017017;550;3;2;4;2
DOBBLE;2;PTS92Q2;1682678183876;1682678244719;250;3;2;4;2
RUNSHOOT;1;PTS92Q2;1682678257460;1682678318654;126;4;2;5;4
DOBBLE;1;PTS92Q2;1682678329743;1682678390605;430;4;2;5;4
RUNSHOOT;2;PTS92Q2;1682678398444;1682678458955;130;2;1;4;2
SORTER;2;PTS92Q2;1682678468761;1682678529224;440;3;1;4;2
FLAPPY;1;PTS92Q2;1682678537846;1682678598691;290;1;3;4;1
RUNSHOOT;3;PTS92Q2;1682678608398;1682678672476;139;4;5;5;3
FLAPPY;3;PTS92Q2;1682678683013;1682678747493;350;2;2;4;1
SORTER;3;PTS92Q2;1682678758930;1682678819460;280;4;4;4;2
FLAPPY;2;PTS92Q2;1682678832882;1682678895177;290;1;1;4;1
DOBBLE;3;PTS92Q2;1682678906168;1682678967628;290;3;4;4;2
SORTER;1;PTS92Q2;1682678979251;1682679039746;530;3;2;4;4
DOBBLE;2;WMS12P;1682688642743;1682688704139;270;3;4;5;2
FLAPPY;2;WMS12P;1682688791213;1682688853956;290;3;3;5;2
SORTER;2;WMS12P;1682688881997;1682688942508;410;2;2;5;2
DOBBLE;3;WMS12P;1682688966070;1682689027608;340;2;4;5;3
RUNSHOOT;3;WMS12P;1682689059630;1682689125159;125;3;4;5;3
SORTER;1;WMS12P;1682689172282;1682689232844;440;3;2;5;2
DOBBLE;1;WMS12P;1682689243466;1682689305044;360;3;4;5;2
RUNSHOOT;2;WMS12P;1682689322999;1682689385329;111;2;3;5;2
FLAPPY;1;WMS12P;1682689400966;1682689462628;300;2;3;5;2
SORTER;3;WMS12P;1682689478702;1682689539280;150;2;2;5;2
RUNSHOOT;1;WMS12P;1682689550935;1682689611497;130;2;2;5;2
FLAPPY;3;WMS12P;1682689623353;1682689686547;340;2;3;5;2
RUNSHOOT;2;WMS12P2;1682689831839;1682689892367;127;2;2;5;2
SORTER;3;WMS12P2;1682689909689;1682689970367;270;2;2;5;2
FLAPPY;3;WMS12P2;1682689982224;1682690045549;390;2;2;5;2
SORTER;2;WMS12P2;1682690057089;1682690117651;370;2;2;5;2
FLAPPY;1;WMS12P2;1682690127039;1682690188918;280;2;3;5;2
SORTER;1;WMS12P2;1682690199224;1682690259706;330;2;3;5;2
DOBBLE;2;WMS12P2;1682690268084;1682690329152;270;2;2;5;2
RUNSHOOT;3;WMS12P2;1682690376294;1682690439255;126;2;3;5;2
DOBBLE;3;WMS12P2;1682690445315;1682690506788;360;3;4;5;3
RUNSHOOT;1;WMS12P2;1682690523411;1682690584891;110;2;3;5;2
DOBBLE;1;WMS12P2;1682690594879;1682690655890;295;3;4;5;3
FLAPPY;2;WMS12P2;1682690667229;1682690730507;290;3;4;5;1
SORTER;3;QAC39D;1682694006591;1682694067075;150;3;5;5;5
FLAPPY;2;QAC39D;1682694098914;1682694169010;260;4;5;5;3
SORTER;2;QAC39D;1682694191497;1682694251994;340;5;5;5;4
DOBBLE;3;QAC39D;1682694268586;1682694330061;340;4;5;4;5
RUNSHOOT;1;QAC39D;1682694346302;1682694408595;112;5;5;5;5
DOBBLE;1;QAC39D;1682694426829;1682694487828;400;4;4;4;4
SORTER;1;QAC39D;1682694497620;1682694558128;570;4;4;4;4
FLAPPY;3;QAC39D;1682694585451;1682694653679;340;4;4;4;4
RUNSHOOT;3;QAC39D;1682694661552;1682694725497;130;5;5;5;5
FLAPPY;1;QAC39D;1682694734536;1682694798980;260;4;4;4;4
DOBBLE;2;QAC39D;1682694809360;1682694870848;245;3;3;3;3
RUNSHOOT;2;QAC39D;1682694880220;1682694941898;119;3;3;3;3
FLAPPY;1;QAC39D2;1682695072504;1682695134617;290;3;3;3;3
SORTER;1;QAC39D2;1682695140523;1682695201103;390;3;3;3;3
RUNSHOOT;2;QAC39D2;1682695208324;1682695268884;126;3;3;3;3
DOBBLE;3;QAC39D2;1682695284351;1682695346419;385;4;4;4;4
SORTER;3;QAC39D2;1682695351623;1682695412054;310;4;4;4;4
FLAPPY;3;QAC39D2;1682695418243;1682695483638;360;3;3;3;3
RUNSHOOT;1;QAC39D2;1682695490611;1682695552387;115;4;4;4;4
DOBBLE;2;QAC39D2;1682695557417;1682695617989;315;4;4;4;4
SORTER;2;QAC39D2;1682695623362;1682695683956;430;3;3;3;3
FLAPPY;2;QAC39D2;1682695694744;1682695763506;290;4;4;4;4
DOBBLE;1;QAC39D2;1682695768613;1682695829524;405;2;2;2;2
RUNSHOOT;3;QAC39D2;1682695839730;1682695901074;152;4;4;4;4
FLAPPY;1;bluefox45;1682597134244;1682597196319;290;2;3;4;2
SORTER;2;bluefox45;1682597226071;1682597286154;420;4;3;4;3
DOBBLE;1;bluefox45;1682597312336;1682597372970;230;4;4;4;4
FLAPPY;3;bluefox45;1682597405005;1682597472664;350;3;3;3;2
RUNSHOOT;1;bluefox45;1682597507420;1682597568606;118;3;3;4;2
DOBBLE;3;bluefox45;1682597602161;1682597662828;340;5;5;5;5
FLAPPY;2;bluefox45;1682597686506;1682597751530;290;2;3;3;1
SORTER;1;bluefox45;1682597779079;1682597839164;300;4;3;4;4
DOBBLE;2;bluefox45;1682597853416;1682597913533;245;3;3;4;4
RUNSHOOT;2;bluefox45;1682597960569;1682598020652;125;3;4;4;3
SORTER;3;bluefox45;1682598032252;1682598092337;260;4;4;4;4
RUNSHOOT;3;bluefox45;1682598104096;1682598167208;137;4;5;4;3
RUNSHOOT;1;bluefox452;1682598244750;1682598305489;128;3;3;4;2
FLAPPY;2;bluefox452;1682598320508;1682598382212;290;2;2;3;2
SORTER;2;bluefox452;1682598392627;1682598452712;360;4;4;4;4
DOBBLE;1;bluefox452;1682598464558;1682598525164;265;4;4;3;4
RUNSHOOT;3;bluefox452;1682598541667;1682598605507;147;4;4;4;3
SORTER;1;bluefox452;1682598618526;1682598678610;350;4;4;3;4
RUNSHOOT;2;bluefox452;1682598699469;1682598760938;112;3;3;4;3
DOBBLE;3;bluefox452;1682598774407;1682598835108;330;4;4;4;4
SORTER;3;bluefox452;1682598845507;1682598905593;290;3;3;4;4
FLAPPY;1;bluefox452;1682598920228;1682598985335;290;3;3;3;1
DOBBLE;2;bluefox452;1682598997752;1682599057886;255;4;4;4;4
FLAPPY;3;bluefox452;1682599068084;1682599133142;340;2;3;3;2
RUNSHOOT;3;lionheart123;1682587743862;1682587806807;134;4;5;5;4
FLAPPY;1;lionheart123;1682587828967;1682587891621;290;3;5;4;3
SORTER;2;lionheart123;1682587919419;1682587979505;420;5;5;5;4
FLAPPY;3;lionheart123;1682588008676;1682588070307;370;4;5;4;3
RUNSHOOT;1;lionheart123;1682588083525;1682588144961;112;4;4;4;3
SORTER;3;lionheart123;1682588159116;1682588219199;320;5;5;5;4
DOBBLE;2;lionheart123;1682588242562;1682588302661;255;3;4;4;4
FLAPPY;2;lionheart123;1682588324616;1682588388076;290;3;4;3;3
RUNSHOOT;2;lionheart123;1682588414594;1682588476009;110;3;3;4;3
DOBBLE;3;lionheart123;1682588496446;1682588557621;330;3;4;4;4
SORTER;1;lionheart123;1682588579729;1682588639814;390;4;4;5;4
DOBBLE;1;lionheart123;1682588654953;1682588715070;360;4;4;4;5
DOBBLE;3;lionheart1232;1682588943735;1682589004394;385;3;4;4;5
SORTER;2;lionheart1232;1682589028478;1682589088557;340;4;4;4;4
RUNSHOOT;3;lionheart1232;1682589104045;1682589167682;134;4;4;3;3
SORTER;1;lionheart1232;1682589185689;1682589245773;500;5;4;5;3
FLAPPY;2;lionheart1232;1682589270703;1682589332705;290;4;3;3;2
RUNSHOOT;1;lionheart1232;1682589351045;1682589411347;124;3;4;4;3
DOBBLE;2;lionheart1232;1682589438180;1682589498296;275;3;4;4;4
RUNSHOOT;2;lionheart1232;1682589521490;1682589582243;121;3;3;4;3
SORTER;3;lionheart1232;1682589606236;1682589666322;190;5;5;5;4
FLAPPY;1;lionheart1232;1682589685061;1682589748083;290;3;3;4;2
DOBBLE;1;lionheart1232;1682589770593;1682589831212;380;3;4;4;4
FLAPPY;3;lionheart1232;1682589845498;1682589907284;370;4;4;5;3
FLAPPY;3;PizzaSlice;1682420590531;1682420655159;360;2;4;4;5
SORTER;2;PizzaSlice;1682420682156;1682420742242;310;3;5;5;3
DOBBLE;1;PizzaSlice;1682420760983;1682420821116;395;3;4;5;5
FLAPPY;1;PizzaSlice;1682420833217;1682420894770;290;2;4;4;3
SORTER;1;PizzaSlice;1682420911219;1682420971293;220;4;4;4;3
RUNSHOOT;1;PizzaSlice;1682420985361;1682421045947;130;4;4;5;4
FLAPPY;2;PizzaSlice;1682421060432;1682421123053;290;3;4;4;4
SORTER;3;PizzaSlice;1682421135660;1682421195739;140;4;4;4;5
RUNSHOOT;3;PizzaSlice;1682421213470;1682421276199;129;4;5;4;5
DOBBLE;2;PizzaSlice;1682421285386;1682421345482;590;2;4;4;3
RUNSHOOT;2;PizzaSlice;1682421364106;1682421424574;132;3;4;4;4
DOBBLE;3;PizzaSlice;1682421440071;1682421500678;625;3;4;3;3
SORTER;1;PizzaSlice2;1682421664936;1682421725025;340;2;4;4;4
RUNSHOOT;3;PizzaSlice2;1682421744950;1682421806585;155;3;4;4;4
FLAPPY;3;PizzaSlice2;1682421816403;1682421879405;370;3;4;4;3
DOBBLE;2;PizzaSlice2;1682421892690;1682421953325;745;3;4;2;3
SORTER;2;PizzaSlice2;1682421967460;1682422027545;430;3;4;4;4
RUNSHOOT;1;PizzaSlice2;1682422037259;1682422097344;132;2;3;3;4
DOBBLE;1;PizzaSlice2;1682422111381;1682422172032;885;2;4;3;2
FLAPPY;1;PizzaSlice2;1682422181013;1682422244284;290;3;4;3;3
DOBBLE;3;PizzaSlice2;1682422253766;1682422314417;525;2;4;3;2
RUNSHOOT;2;PizzaSlice2;1682422329504;1682422389589;137;3;3;4;4
SORTER;3;PizzaSlice2;1682422399904;1682422459989;290;3;4;4;4
FLAPPY;2;PizzaSlice2;1682422473123;1682422535710;280;3;4;3;3
